JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
4862,5967,2,1,0.6,256,0.2,512,3120,2,4,2,8996426,53,51,1273,2974,17,16,0,0,10,3,6,0,160,0.7,10,19504
2041,4887,2,0,0.4,64,0.2,64,3929,2,2,2,8049207,96,69,1046,4091,11,9,0,0,11,6,4,0,140,0.7,10,13030.64
3264,4408,5,1,0.6,64,0.5,64,3919,5,3,5,11619156,97,61,1141,3399,7,18,1,0,23,11,3,0,125,0.8,50,17740.98
3436,5929,1,1,0.8,256,0.3,64,1896,1,3,1,7410590,76,75,1898,1734,11,13,0,1,11,2,2,1,164,0.8,10,3300.33
2445,5940,4,0,0.8,128,0.1,128,3490,4,1,4,6442222,52,51,1498,3276,12,19,1,0,15,2,3,0,142,0.6,30,14906.45
2573,3543,1,0,0.6,64,0.3,512,1744,1,3,1,8135500,55,52,1065,3455,8,9,1,1,11,5,1,0,132,0.9,10,9815.84
2140,3598,1,0,0.6,256,0.2,512,1078,1,4,1,9353857,84,74,924,1893,8,21,1,0,10,3,10,0,145,0.8,10,17859.11
5986,5161,1,1,0.6,64,0.4,256,2286,1,1,1,7679750,61,72,1629,1231,7,13,0,0,19,2,9,0,130,0.7,10,16838.42
4987,3320,1,1,0.4,128,0.2,64,1655,1,2,1,6512528,74,78,1706,1558,10,11,0,1,23,8,8,1,158,0.8,10,9304
4850,4417,2,1,0.5,32,0.5,256,4017,2,1,2,10709458,66,76,1380,3170,18,19,1,1,25,4,8,1,166,0.7,20,7003.94
5758,2700,4,1,0.5,64,0.2,64,2360,4,4,4,6980110,87,59,1194,1349,13,20,0,0,21,3,3,0,165,0.9,40,13182
6016,4735,2,0,0.7,32,0.1,256,2840,2,2,2,6935668,58,70,1139,3877,11,9,0,1,18,10,9,1,169,0.8,20,8312
3409,5016,4,0,0.8,32,0.2,64,3157,4,2,4,8551147,52,60,1000,2274,16,19,0,0,10,4,6,1,164,0.7,20,4070.13
4626,2386,3,0,0.4,1024,0.3,32,3497,3,3,3,6037034,58,81,1759,3512,7,14,0,0,15,3,1,0,132,0.8,20,3435.35
2250,3453,5,0,0.4,1024,0.4,32,2271,5,1,5,8823659,82,51,1794,2855,7,20,1,1,20,3,3,1,132,0.5,50,12337.42
4409,5079,1,0,0.8,1024,0.3,1024,1968,1,3,1,7732769,90,100,1867,3286,12,21,0,0,18,5,2,1,153,0.6,10,18349.46
